,MAE,MedAE,RMSE,MaxAE,MSE,PearsonCorr,R2Coeff,Test Cases
"(0, 0)",0.9516209586799079,0.6461937982082366,1.3537782668046212,6.748328985530222,1.8327155956725243,0.8239002509810318,0.6755146845995796,4668.0
"(0, 1)",0.9409460260452825,0.6598129272460938,1.3398794356763946,9.394310059739508,1.7952769021484938,0.8129162724499366,0.6519001087184445,4667.0
"(1, 0)",0.9543275481728041,0.6814813137054443,1.3568480375352605,7.6850310859089905,1.8410365969632878,0.8171292938386773,0.6644227952325676,4668.0
"(1, 1)",0.9824130339084343,0.7003580057144165,1.384618632175538,8.264192523956298,1.917168756567658,0.8034136913403032,0.6399299296470562,4667.0
"(2, 0)",0.9546989849602152,0.6726837684631346,1.3304643897975876,7.837131383611121,1.7701354925194674,0.8216563892031533,0.671951656001643,4668.0
"(2, 1)",0.9920177491764403,0.7010832317352294,1.4004496248932727,7.811453869474738,1.9612591518637086,0.8021488975449679,0.637785535282398,4667.0
mean,0.9626707168238474,0.6769355075120925,1.3610063978137792,7.956741318036813,1.8529320826225233,0.8135274658930117,0.6569174515802816,4667.5
std,0.018157751826156417,0.020036230067766572,0.02436529770974225,0.7885251978495454,0.0665716510007238,0.008354450310997638,0.014764791532282282,0.5
