,MAE,MedAE,RMSE,MaxAE,MSE,PearsonCorr,R2Coeff,Test Cases
"(0, 0)",0.43295909761637347,0.27871732932293664,0.633977989133681,4.330328593982465,0.40192809070598573,0.806872574795863,0.6434437808687894,966.0
"(0, 1)",0.5059850977454734,0.31214049513230463,0.7475595762029843,3.2294005380997244,0.5588453199727854,0.7199399719869811,0.46953640702740507,958.0
"(1, 0)",0.5122424463661202,0.3146154257961416,0.747757116739646,2.9191256478611596,0.5591407056347886,0.7436417204229074,0.5178231357028317,959.0
"(1, 1)",0.4249950047100855,0.24191542598345728,0.657121356522033,4.553451309932477,0.4318084771973568,0.7674809104277447,0.5702294914237644,965.0
"(2, 0)",0.4325776475299155,0.2679248217802719,0.6513040326563339,4.340348611606366,0.4241969429544028,0.7777903577042442,0.5954322728054516,962.0
"(2, 1)",0.49786982513605277,0.3171855672627978,0.7193167939857188,2.914426894504226,0.517416650109893,0.7523218704143533,0.5401866519152266,962.0
mean,0.46777151985067017,0.288749844212985,0.692839477540066,3.714513599331069,0.4822226977625354,0.7613412342920157,0.5561086232905781,962.0
std,0.03791260225843565,0.028144084196832606,0.046863163834119925,0.7050803102315926,0.0650407900601006,0.027355860093011056,0.055658504049607496,2.886751345948129
