,AUROC,Accuracy,Balanced Accuracy,F1-Score,MCC,Sensitivity,Specificity,Precision,Negative Predictive Value,Test Cases,Negative Test Cases,Positive Test Cases
"(0, 0)",0.7564307918530715,0.6916079812206573,0.6923302399840343,0.7046923293059848,0.3835284516237255,0.6830065359477124,0.7016539440203562,0.7278003482298316,0.6545994065281899,3408.0,1572.0,1836.0
"(0, 1)",0.7657596985017314,0.6993865030674846,0.700647684684458,0.7089715536105032,0.4002612431138776,0.6831325301204819,0.7181628392484343,0.7368421052631579,0.6623876765083441,3097.0,1437.0,1660.0
"(1, 0)",0.7546837006079027,0.6942224953902889,0.6965072188449848,0.7009317703636911,0.3920749261405792,0.6662857142857143,0.7267287234042553,0.7393785668991757,0.6517590936195587,3254.0,1504.0,1750.0
"(1, 1)",0.7754149018354244,0.7234697016302676,0.7262292929638889,0.7279878971255673,0.45159171594534103,0.6890034364261168,0.7634551495016612,0.7716484926234766,0.6790780141843972,3251.0,1505.0,1746.0
"(2, 0)",0.760431028567379,0.6991473812423873,0.7001446985908479,0.7170675830469645,0.39821393971066893,0.6905681191395477,0.7097212780421482,0.7456819535437761,0.6504672897196262,3284.0,1471.0,1813.0
"(2, 1)",0.7809203872272793,0.721204594846321,0.7217308092011679,0.7268856447688565,0.44301462822003634,0.7100415923945336,0.7334200260078023,0.7445482866043613,0.698019801980198,3221.0,1538.0,1683.0
mean,0.7656067514321315,0.7048397762329012,0.7062649907115638,0.7144227963702613,0.41144748412570475,0.6870063213856845,0.725523660037443,0.7443166255272966,0.6660518804233857,3252.5,1504.5,1748.0
std,0.009669798593939245,0.01268089119662071,0.012885187867335734,0.010430206652618597,0.02602265358988211,0.01295920961506256,0.019900849933187376,0.013552300163754444,0.017240344834606073,91.60558571033391,43.50766216043637,63.17436188834834
