,PRC-AUC,AUROC,Accuracy,Balanced Accuracy,F1-Score,MCC,Sensitivity,Specificity,Precision,Negative Predictive Value,Test Cases,Negative Test Cases,Positive Test Cases
"(0, 0)",0.8151255083742857,0.8109905716598202,0.738849765258216,0.7379134860050891,0.7557628979143798,0.4752831974164485,0.75,0.7258269720101781,0.7616150442477876,0.713125,3408.0,1572.0,1836.0
"(0, 1)",0.8166740388223428,0.7952507315273621,0.7129480142072974,0.7191410736893293,0.7027749916415914,0.4415214746298591,0.6331325301204819,0.8051496172581768,0.7896318557475582,0.6551528878822197,3097.0,1437.0,1660.0
"(1, 0)",0.8280343585193687,0.7975966945288755,0.7203441917639828,0.7305132978723404,0.6962616822429907,0.4728550665795894,0.596,0.8650265957446809,0.8370786516853933,0.6479083665338645,3254.0,1504.0,1750.0
"(1, 1)",0.8379404323389512,0.8296078744772102,0.7548446631805599,0.7508990649724288,0.7789181692094314,0.5056617410089136,0.8041237113402062,0.6976744186046512,0.7552447552447552,0.7543103448275862,3251.0,1505.0,1746.0
"(2, 0)",0.8269180007238298,0.7947998498644318,0.6976248477466505,0.7096659708585512,0.6844613918017158,0.4245882418591243,0.5940430226144512,0.8252889191026512,0.8073463268365817,0.6225641025641026,3284.0,1471.0,1813.0
"(2, 1)",0.8173167395360763,0.8132777325770517,0.7485253027010246,0.7454938353163703,0.7715736040609138,0.49663177171921563,0.8128342245989305,0.6781534460338101,0.7342995169082126,0.7680412371134021,3221.0,1538.0,1683.0
mean,0.8236681797191423,0.8069205757724585,0.7288561308096219,0.7322711214523515,0.7316254561451704,0.4694235822021917,0.6983555814456784,0.7661866614590247,0.780869358445048,0.6935169898201958,3252.5,1504.5,1748.0
std,0.00811950410751051,0.012528127383124164,0.020261075938402345,0.01437681959978729,0.03812799955000019,0.028543344982218617,0.09360486491504211,0.06934599287175787,0.034480416920108774,0.055106612664970696,91.60558571033391,43.50766216043637,63.17436188834834
