,PRC-AUC,AUROC,Accuracy,Balanced Accuracy,F1-Score,MCC,Sensitivity,Specificity,Precision,Negative Predictive Value,Test Cases,Negative Test Cases,Positive Test Cases
"(0, 0)",0.553783059670147,0.5121804093421366,0.5129107981220657,0.5156413710522377,0.5151869158878505,0.03126126015269734,0.4803921568627451,0.5508905852417303,0.5554156171284634,0.4758241758241758,3408.0,1572.0,1836.0
"(0, 1)",0.5317591346377561,0.49725205624166813,0.49919276719405875,0.5002986895389491,0.5093324897184435,0.0005961089558168847,0.48493975903614456,0.5156576200417536,0.536309127248501,0.4642857142857143,3097.0,1437.0,1660.0
"(1, 0)",0.5442703092551678,0.49708263677811554,0.5,0.4990186170212766,0.5241298625329044,-0.001957801503771975,0.512,0.48603723404255317,0.5368484122228879,0.461198738170347,3254.0,1504.0,1750.0
"(1, 1)",0.5527535195461858,0.5101734196435707,0.50138418948016,0.5044298691265845,0.49953689410311825,0.008864860829650932,0.46334478808705615,0.545514950166113,0.5418620227729404,0.4670079635949943,3251.0,1505.0,1746.0
"(2, 0)",0.5453607937625564,0.4832243000641563,0.4890377588306943,0.48856491169786304,0.515868436237738,-0.02274633072453712,0.4931053502482074,0.4840244731475187,0.5408348457350273,0.43654199877375843,3284.0,1471.0,1813.0
"(2, 1)",0.5364987678071451,0.5169518175714152,0.503880782365725,0.5041057326110489,0.5125076266015862,0.008203520529372045,0.49910873440285203,0.5091027308192457,0.5266457680250783,0.48154981549815495,3221.0,1538.0,1683.0
mean,0.5440709307798263,0.5028107732735104,0.5010677159987841,0.50200986517466,0.5127603708469403,0.004036936373204684,0.48881513143950084,0.5152045989098192,0.5396526321888164,0.46440140102452415,3252.5,1504.5,1748.0
std,0.007961723744341816,0.011469587256414839,0.007043287726250405,0.008048907726034287,0.007432901165149829,0.01605694374871876,0.015256724047875345,0.025989037599069512,0.008592360173498684,0.014246396024175118,91.60558571033391,43.50766216043637,63.17436188834834
