,PRC-AUC,AUROC,Accuracy,Balanced Accuracy,F1-Score,MCC,Sensitivity,Specificity,Precision,Negative Predictive Value,Test Cases,Negative Test Cases,Positive Test Cases
"(0, 0)",0.530976720702155,0.4950304761429593,0.505575117370892,0.5039394468559264,0.5336285635206199,0.007862436603247142,0.5250544662309368,0.48282442748091603,0.5424873382104671,0.4653586756591048,3408.0,1572.0,1836.0
"(0, 1)",0.5176213076009721,0.472972893662332,0.46916370681304487,0.4709778571488459,0.47375160051216386,-0.05798000766843392,0.4457831325301205,0.49617258176757134,0.505464480874317,0.43661971830985913,3097.0,1437.0,1660.0
"(1, 0)",0.5399463931618624,0.49275645896656534,0.4950829748002459,0.4951481762917933,0.5128965312777943,-0.00967590754664304,0.4942857142857143,0.49601063829787234,0.5329636475662354,0.457388105456775,3254.0,1504.0,1750.0
"(1, 1)",0.5150473712982612,0.4670632066460405,0.4761611811750231,0.4770956300685383,0.48781954887218043,-0.04570140093474492,0.46449026345933564,0.48970099667774086,0.5136162127929069,0.4407894736842105,3251.0,1505.0,1746.0
"(2, 0)",0.5711332502237159,0.5287243013765301,0.5258830694275274,0.5243074134498822,0.556789069171648,0.0483806760623888,0.5394373965802537,0.5091774303195106,0.5752941176470588,0.47285353535353536,3284.0,1471.0,1813.0
"(2, 1)",0.5094415771712254,0.4832751518860293,0.4824588637069233,0.4830184349422474,0.4872346970163026,-0.03394051897402286,0.47058823529411764,0.49544863459037713,0.5051020408163265,0.46098003629764067,3221.0,1538.0,1683.0
mean,0.530694436693032,0.48997041478007614,0.49238748554894274,0.49241449312620555,0.5086866683951182,-0.015175787076368135,0.4899398680634131,0.49488911818899806,0.5291546396512187,0.4556649241268543,3252.5,1504.5,1748.0
std,0.02077016056795542,0.019973784666409693,0.019167454268600417,0.017981188251874662,0.029068151986945786,0.035862148097442655,0.03335144192642124,0.007956625907084687,0.0248405403346869,0.012939834082128478,91.60558571033391,43.50766216043637,63.17436188834834
