,PRC-AUC,AUROC,Accuracy,Balanced Accuracy,F1-Score,MCC,Sensitivity,Specificity,Precision,Negative Predictive Value,Test Cases,Negative Test Cases,Positive Test Cases
"(0, 0)",0.8113802252706489,0.8106792618093321,0.7453051643192489,0.7423955163066075,0.767416934619507,0.48643198630452716,0.7799564270152506,0.7048346055979644,0.7552742616033755,0.7328042328042328,3408.0,1572.0,1836.0
"(0, 1)",0.8139333200494769,0.7849164926931107,0.7206974491443332,0.7248742359836003,0.7190646313738227,0.45015797509714056,0.6668674698795181,0.7828810020876826,0.7801268498942917,0.6704410011918951,3097.0,1437.0,1660.0
"(1, 0)",0.8181572209726206,0.7833248480243161,0.7261831591886908,0.7329509878419453,0.7165128857779192,0.46944935835000223,0.6434285714285715,0.8224734042553191,0.8083273510409189,0.6646963997850618,3254.0,1504.0,1750.0
"(1, 1)",0.8344092336779109,0.8254834020238,0.7496155029221778,0.744288225959288,0.7778384279475983,0.495317331860249,0.8161512027491409,0.6724252491694352,0.7429614181438999,0.7591897974493623,3251.0,1505.0,1746.0
"(2, 0)",0.8314502468917127,0.7932424370707365,0.7225943970767357,0.729972143927665,0.7240230233262648,0.4594685990934731,0.6591285162713734,0.8008157715839564,0.8030913978494624,0.655902004454343,3284.0,1471.0,1813.0
"(2, 1)",0.8131421937944348,0.814764527397435,0.7413846631480907,0.7380726101371706,0.7663394109396914,0.4825691523887329,0.8116458704693998,0.6644993498049415,0.7258235919234857,0.7632561613144138,3221.0,1538.0,1683.0
mean,0.8204120734428008,0.8020684948364551,0.734296722633213,0.7354256200260462,0.7451992189974672,0.4738990671823542,0.7295296763022091,0.7413215637498832,0.769267478409239,0.7077149328332181,3252.5,1504.5,1748.0
std,0.00912182186148435,0.015848276448192127,0.0115022048122834,0.006847477710216731,0.025691134043518388,0.015719755470832833,0.07425798619664188,0.06302383376089726,0.030448993748011677,0.04525572235327096,91.60558571033391,43.50766216043637,63.17436188834834
