,PRC-AUC,AUROC,Accuracy,Balanced Accuracy,F1-Score,MCC,Sensitivity,Specificity,Precision,Negative Predictive Value,Test Cases,Negative Test Cases,Positive Test Cases
"(0, 0)",0.8020881455454092,0.7804913879603297,0.7112676056338029,0.7084726172063397,0.7353415814954277,0.41797908146073603,0.7445533769063181,0.6723918575063613,0.7263549415515409,0.6926605504587156,3408.0,1572.0,1836.0
"(0, 1)",0.810666497670768,0.793585406343537,0.7084275104940265,0.7122598955320237,0.7078615334843092,0.4246421054352997,0.6590361445783133,0.7654836464857342,0.7645003494060097,0.6602641056422569,3097.0,1437.0,1660.0
"(1, 0)",0.8154930914408395,0.7820925151975684,0.7022126613398894,0.7097773556231004,0.6877215597808573,0.42441584364915813,0.6097142857142858,0.8098404255319149,0.7886178861788617,0.6407154129405576,3254.0,1504.0,1750.0
"(1, 1)",0.8021802698123613,0.8005500945683155,0.7419255613657336,0.736991433670887,0.7698216735253772,0.4795149869843768,0.8035509736540665,0.6704318936877076,0.7388098999473407,0.746301775147929,3251.0,1505.0,1746.0
"(2, 0)",0.8239733935615913,0.792943778279313,0.7171132764920828,0.7241744512308754,0.719250528860683,0.44768422903466604,0.6563706563706564,0.7919782460910945,0.7954545454545454,0.651565995525727,3284.0,1471.0,1813.0
"(2, 1)",0.782228936500112,0.7895668611456876,0.727103384042223,0.7238743667069223,0.7528816418330054,0.45340468210798107,0.7956030897207368,0.6521456436931079,0.7145144076840982,0.7446176688938382,3221.0,1538.0,1683.0
mean,0.8061050557551802,0.7898716739157919,0.7180083332279598,0.7192583533283581,0.72881308649661,0.4412734881120363,0.711471421157396,0.7270452854993201,0.7547086717037327,0.6893542514348373,3252.5,1504.5,1748.0
std,0.013101068947233912,0.006902370211164982,0.01318008409698795,0.010125360645764614,0.027454642785953314,0.021424628159980388,0.07392706378926073,0.06370617689314928,0.030491041917389387,0.04271596668010463,91.60558571033391,43.50766216043637,63.17436188834834
