,PRC-AUC,AUROC,Accuracy,Balanced Accuracy,F1-Score,MCC,Sensitivity,Specificity,Precision,Negative Predictive Value,Test Cases,Negative Test Cases,Positive Test Cases
"(0, 0)",0.8127853842590724,0.7922142740330511,0.7312206572769953,0.7302383209433052,0.7486278814489572,0.4599504096349874,0.7429193899782135,0.7175572519083969,0.754424778761062,0.705,3408.0,1572.0,1836.0
"(0, 1)",0.8075283557431246,0.7855427974947807,0.7135938004520503,0.7149290271734118,0.7227258518286964,0.42875032290043563,0.6963855421686747,0.7334725121781489,0.751137102014295,0.6765083440308087,3097.0,1437.0,1660.0
"(1, 0)",0.7986071285340087,0.7692617781155014,0.6936078672403196,0.6978050911854103,0.6927580893682588,0.3957827734719982,0.6422857142857142,0.7533244680851063,0.7518394648829432,0.6441159749857874,3254.0,1504.0,1750.0
"(1, 1)",0.8088639876265983,0.7907871052200949,0.7222393109812365,0.7208649671008818,0.7408895265423242,0.4415923219781813,0.7394043528064147,0.7023255813953488,0.7423806785508913,0.6990740740740741,3251.0,1505.0,1746.0
"(2, 0)",0.7937517715893659,0.7690611989922468,0.6985383678440926,0.7012602163617022,0.7120418848167539,0.4003531903148656,0.6751241036955322,0.7273963290278722,0.7532307692307693,0.6449668474984931,3284.0,1471.0,1813.0
"(2, 1)",0.7806718308366729,0.7828027849828507,0.7180999689537411,0.7167432761022603,0.7346580946814728,0.4344321544788121,0.7468805704099821,0.6866059817945384,0.7228292121909143,0.7125506072874493,3221.0,1538.0,1683.0
mean,0.8003680764314739,0.7816116564730876,0.7128833287914059,0.713640149811162,0.7252835547810772,0.42681019546321336,0.7071666122240886,0.7201136873982352,0.7459736676051457,0.6803693079794354,3252.5,1504.5,1748.0
std,0.010896927382934138,0.00934086446852914,0.013094728238722946,0.011128040418459552,0.0187802001617429,0.022514134264961735,0.03925815467605044,0.021525835000626783,0.011058411754115947,0.02761255962143745,91.60558571033391,43.50766216043637,63.17436188834834
