,PRC-AUC,AUROC,Accuracy,Balanced Accuracy,F1-Score,MCC,Sensitivity,Specificity,Precision,Negative Predictive Value,Test Cases,Negative Test Cases,Positive Test Cases
"(0, 0)",0.5418976882140474,0.5194616297183279,0.5223004694835681,0.5205599627467612,0.5505245720596356,0.04104391467971925,0.5430283224400871,0.49809160305343514,0.5582306830907054,0.48273736128236744,3408.0,1572.0,1836.0
"(0, 1)",0.5522942483833633,0.5163621081402856,0.5043590571520826,0.5068941737723336,0.5049983876168977,0.013785816487926166,0.4716867469879518,0.5421016005567154,0.5433726578764747,0.47041062801932365,3097.0,1437.0,1660.0
"(1, 0)",0.5316228864487895,0.49407655775075987,0.5,0.4977568389057751,0.531528937517996,-0.0044812912216404335,0.5274285714285715,0.46808510638297873,0.5356935577481138,0.4598301763553233,3254.0,1504.0,1750.0
"(1, 1)",0.5289074530892235,0.4923785929300194,0.4949246385727468,0.49383041636697833,0.5196021064950264,-0.012310254159223157,0.5085910652920962,0.4790697674418605,0.5311004784688995,0.4566181127295757,3251.0,1505.0,1746.0
"(2, 0)",0.5461687796732578,0.49220487430645726,0.4981729598051157,0.4979285116218204,0.5239745811669556,-0.004120486815452826,0.5002757859900717,0.495581237253569,0.5500303214069133,0.44587155963302755,3284.0,1471.0,1813.0
"(2, 1)",0.5230872136898589,0.5120311197340188,0.5091586463831108,0.5110608494491307,0.4995251661918328,0.022176745273504165,0.46880570409982175,0.5533159947984395,0.5345528455284553,0.4876790830945559,3221.0,1538.0,1683.0
mean,0.5373297115830901,0.5044191470966447,0.5048192952327707,0.5046717921437999,0.5216922918413908,0.009349074040805526,0.5033026993731,0.5060408849144997,0.542163424019927,0.4671911535190289,3252.5,1504.5,1748.0
std,0.010241125705865313,0.011747235761062106,0.009036378812526613,0.009210653593157574,0.016870613493676155,0.01839669955432269,0.0270398563153339,0.031294272213195716,0.009519068353220488,0.014675961694637205,91.60558571033391,43.50766216043637,63.17436188834834
