,MAE,MedAE,RMSE,MaxAE,MSE,PearsonCorr,R2Coeff,Test Cases
"(0, 0)",1.3582626412354506,1.1105257015228274,1.7306352521553434,7.888058397247558,2.995098376002789,0.632019158687444,0.19605672375763572,4247.0
"(0, 1)",1.499541421228025,1.0931286577588686,2.0437867934957525,10.790877685546874,4.17706445726765,0.6935826311700188,0.3817512804460398,5088.0
"(1, 0)",1.3546820483954323,1.0798159466466308,1.7702709896156135,8.728055282962744,3.133859376674643,0.6877815579626977,0.3847030743023373,4669.0
"(1, 1)",1.3658762561497308,1.0179409493756224,1.8542434659679345,10.992585525512695,3.4382188310847788,0.6304066051092402,0.3747913113306257,4666.0
"(2, 0)",1.3537747673194946,1.0800426506042484,1.7619957165863251,8.64984295077539,3.1046289052685574,0.6535748282990186,0.30128841745984736,4675.0
"(2, 1)",1.3570743448846974,0.9986123474965211,1.8519877074037527,10.016281694730457,3.429858468374608,0.6908610556159172,0.45791422819606964,4660.0
mean,1.3815352465354718,1.0633443755674532,1.8354866542041204,9.510950256129288,3.379788069112171,0.6647043061407227,0.3494175059154259,4667.5
std,0.05291872631551527,0.040651020068625913,0.10381142206296567,1.1602460568677495,0.39279988228379614,0.02713917582996064,0.08220082290574471,242.8159453852513
