,MAE,MedAE,RMSE,MaxAE,MSE,PearsonCorr,R2Coeff,Test Cases
"(0, 0)",1.4506704426884596,1.2525804159510006,1.8067135384799076,8.061420765896141,3.2642138101265883,0.5714881232666196,0.12382085146364608,4247.0
"(0, 1)",1.6236897828748904,1.3119055819904588,2.105443888677568,9.08533497005118,4.43289396836972,0.6350845835249073,0.34388586819754596,5088.0
"(1, 0)",1.3807836363698127,1.1477957787795188,1.7528014348788785,9.049544914051523,3.0723128701134557,0.6454776787939683,0.3967870167269375,4669.0
"(1, 1)",1.5066164698071396,1.2245321363238562,1.9355305685839546,8.69010516124,3.746278581922926,0.5658414863206056,0.31877345955457537,4666.0
"(2, 0)",1.3642641470316919,1.1265974655939992,1.7304279248868133,8.06163029365503,2.9943808032280828,0.5970783826425142,0.32610028006862024,4675.0
"(2, 1)",1.5312168746260624,1.2318457266286194,1.9837655223027706,8.9311312983775,3.935325647477184,0.6296102951060982,0.37802563558156865,4660.0
mean,1.4762068922330096,1.2158761842112422,1.885780479634982,8.646527900545228,3.5742342802063263,0.607430091609119,0.31456551859881565,4667.5
std,0.08943426806067088,0.06258917486158697,0.13441079879973564,0.43249816930140766,0.5134118758997469,0.031179443809404298,0.08961168974362692,242.8159453852513
