,MAE,MedAE,RMSE,MaxAE,MSE,PearsonCorr,R2Coeff,Test Cases
"(0, 0)",1.5002053079759603,1.329006272637002,1.8421017734913436,7.33249770944652,3.3933389438999537,0.5780986343299551,0.0891611274550026,4247.0
"(0, 1)",1.570744137136768,1.3676754518814986,1.9582670379330223,9.520973396019734,3.834809791854973,0.7000265272100739,0.4324085089416637,5088.0
"(1, 0)",1.2789056842074649,1.0791621575378898,1.6219738057694126,10.088847254998168,2.630799026602112,0.7086441624193254,0.4834731369107189,4669.0
"(1, 1)",1.512567477867554,1.3185368202616181,1.8779051867697172,7.204671825066871,3.5265278904966064,0.6173233469029562,0.3587331155190825,4666.0
"(2, 0)",1.3225760400241742,1.0997444363769995,1.664933395300015,7.735984334874004,2.772003210785236,0.6457162202732187,0.37614742073446084,4675.0
"(2, 1)",1.5938304380345225,1.4107841168151662,1.9580231230394878,8.913957248205234,3.833854550357309,0.6583084157667273,0.39406304310296003,4660.0
mean,1.4631381808744075,1.2674848759183626,1.8205340537171661,8.466155294768422,3.331888902332698,0.6513528844837094,0.3556643921106481,4667.5
std,0.11984438763529834,0.12946447939145622,0.1324562629279559,1.1072463373752013,0.474615349114108,0.04519542752710968,0.12593129920095986,242.8159453852513
