,MAE,MedAE,RMSE,MaxAE,MSE,PearsonCorr,R2Coeff,Test Cases
"(0, 0)",1.4436033041204686,1.2792127889338585,1.7791028220508027,6.984992165193334,3.1652068514291303,0.583761931041062,0.15039626527434513,4247.0
"(0, 1)",1.616932490465935,1.4028427808423314,2.0127683955608164,9.215119941075772,4.051236614168464,0.6661292303157107,0.4003751019542181,5088.0
"(1, 0)",1.2818060110728324,1.0748562254944767,1.6425184104131574,10.170817708552468,2.697866728546165,0.6910133665352607,0.4703051718364305,4669.0
"(1, 1)",1.5119299666910229,1.2948829352096136,1.8869704564486807,7.1934162356951425,3.5606575035101424,0.6085036378525024,0.35252695714310334,4666.0
"(2, 0)",1.3062179986490219,1.0931575519638335,1.6537618666941807,7.4442201655114015,2.734928311731821,0.6377896109158485,0.3844913040714252,4675.0
"(2, 1)",1.5658093163336806,1.3559886475950331,1.9431117114462666,8.651391245549977,3.7756831231596393,0.6560230437734051,0.4032569801998248,4660.0
mean,1.4543831812221601,1.250156821673191,1.8197056104356506,8.276659576929683,3.330929855424227,0.6405368034056316,0.36022529674655784,4667.5
std,0.1251676880384387,0.12432291400539813,0.1400048098218149,1.1650281054325071,0.508735845814335,0.03582302861567985,0.10021446796042363,242.8159453852513
