,AUROC,Accuracy,Balanced Accuracy,F1-Score,MCC,Sensitivity,Specificity,Precision,Negative Predictive Value,Test Cases,Negative Test Cases,Positive Test Cases
"(0, 0)",0.8156939454424484,0.7706732247156471,0.7681695656306435,0.7898591549295774,0.5378596180825371,0.8011428571428572,0.7351962741184298,0.7788888888888889,0.760495526496903,3253.0,1503.0,1750.0
"(0, 1)",0.8218685015569642,0.768450184501845,0.7666573111905186,0.7857752489331438,0.5339291168347443,0.790950744558992,0.7423638778220452,0.7806670435274167,0.7538772757923129,3252.0,1506.0,1746.0
"(1, 0)",0.8175001500277645,0.7657546879803259,0.7624921852626397,0.7870318613750699,0.5282548989443795,0.8096607245543416,0.7153236459709379,0.7656334964654704,0.7659123055162659,3253.0,1514.0,1739.0
"(1, 1)",0.8280397759178288,0.7730627306273062,0.7739739560629912,0.7840842598010533,0.5462932664537512,0.7626636311895276,0.7852842809364549,0.8067429259482239,0.7379006913890634,3252.0,1495.0,1757.0
"(2, 0)",0.8200794130045916,0.7679065478020289,0.7653921088311363,0.7869037538808918,0.5327535097418341,0.8020713463751439,0.7287128712871287,0.7722991689750692,0.7624309392265194,3253.0,1515.0,1738.0
"(2, 1)",0.8161628310740117,0.7690651906519065,0.7683624143902116,0.7843812805053115,0.5359476265704731,0.7770193401592719,0.7597054886211513,0.7918840579710145,0.7432874918140144,3252.0,1494.0,1758.0
mean,0.8198907695039349,0.7691520943798432,0.7675079235613569,0.7863392599041745,0.5358396727712865,0.7905847739966889,0.7444310731260245,0.782685930296014,0.7539840383725132,3252.5,1504.5,1748.0
std,0.0042343680086844035,0.002280383725539108,0.0034960774489871307,0.001933254096249107,0.005538845761191543,0.016181530107464093,0.02267947438725298,0.01341956488397469,0.010239911501903672,0.5,8.220908303425682,7.852812659593164
