,MAE,MedAE,RMSE,MaxAE,MSE,PearsonCorr,R2Coeff,Test Cases
"(0, 0)",0.445245687088132,0.3133334883504914,0.6098486530997235,2.2163938973196013,0.37191537968754684,0.8114841767204638,0.6582850840503905,962.0
"(0, 1)",0.4457784361150079,0.2927305817405266,0.6547755869060782,4.115785460293593,0.4287310692081991,0.7805597827873322,0.6077063168652256,962.0
"(1, 0)",0.4386325505629679,0.28730098392428854,0.635739254393775,3.0558650491275383,0.4041643995771529,0.7878691302385658,0.6206362650289051,962.0
"(1, 1)",0.45310138747588946,0.3030346866458127,0.6498688429077084,3.7350610723679587,0.42232951298220384,0.7889136435218801,0.6209723625044743,962.0
"(2, 0)",0.4322578490616092,0.28893294629282656,0.6124570417691395,2.5026126956898174,0.37510362801260555,0.8093357939160238,0.6528816979023572,962.0
"(2, 1)",0.4407065095304592,0.2874121644515709,0.6326923249223855,4.127198536604156,0.40029957801569344,0.7986200159008652,0.6363049729275958,962.0
mean,0.4426204033056776,0.29545747523425275,0.632563617333135,3.2921527852337777,0.4004239279139003,0.7961304238475219,0.632797783213158,962.0
std,0.006502112537233232,0.009645610226250616,0.016946915362962514,0.7536912026019766,0.021404868627124242,0.01139512577017578,0.01817778541643796,0.0
