,MAE,MedAE,RMSE,MaxAE,MSE,PearsonCorr,R2Coeff,Test Cases
"(0, 0)",0.496433948300541,0.39816912283344563,0.6421646871165325,3.846321036607655,0.41237548537947405,0.8041680418754453,0.6341757460369679,966.0
"(0, 1)",0.5485831967732541,0.4033767200134034,0.719935386795172,2.6709148085194814,0.5183069611599139,0.722244390756926,0.5080159696193138,958.0
"(1, 0)",0.5360968339898868,0.3852882514076421,0.7120150881331685,2.7476683742625654,0.5069654857292837,0.7569858983323862,0.5628166117179435,959.0
"(1, 1)",0.5275630720114999,0.41064344697560373,0.6874107437441781,4.2158001327569385,0.47253353061492415,0.7288115920756488,0.5296966444711956,965.0
"(2, 0)",0.5039693147017575,0.4008286851645125,0.6584370553176182,3.7441678314610884,0.4335393558153362,0.7695758029602263,0.5865221691367715,962.0
"(2, 1)",0.5454214486038554,0.4096714984459986,0.7059640761069288,2.766741536585517,0.4983852767535095,0.7514283439478597,0.5570992879886724,962.0
mean,0.5263446357301325,0.40132962080676765,0.6876545062022664,3.331935620032207,0.47368434924207364,0.7555356783247488,0.5630544048284775,962.0
std,0.01979213883587183,0.008446795366382657,0.028559225160897202,0.6209542803184063,0.03890301836842452,0.027091486460490963,0.040386612108037435,2.886751345948129
