,MAE,MedAE,RMSE,MaxAE,MSE,PearsonCorr,R2Coeff,Test Cases
"(0, 0)",0.45456528622405956,0.29586178795685436,0.6723302746282421,4.513659368289716,0.45202799818168743,0.7831178359315465,0.5989994287535079,966.0
"(0, 1)",0.5526382126004741,0.3730757856952972,0.7853919121624388,3.0564290267330154,0.616840455690172,0.6789334319348393,0.41448663391831597,958.0
"(1, 0)",0.5102134774348718,0.3073091581568226,0.7479964305708219,2.9582757666889794,0.5594986601466904,0.7394980090376677,0.5175144524279951,959.0
"(1, 1)",0.4833527464386751,0.3167776627357306,0.7009443016267274,4.384645114673383,0.4913229139829806,0.7227803465420052,0.5109959397089017,965.0
"(2, 0)",0.44473475757209274,0.289480553305435,0.6524235513093548,4.517071138156659,0.4256564903031103,0.7762963502415365,0.5940402642975947,962.0
"(2, 1)",0.5036836948162469,0.31010064417950683,0.7367109722954537,2.9789458991582807,0.5427430567005127,0.7395974143929376,0.5176798002185992,962.0
mean,0.4915313625144034,0.31543426533827446,0.7159662404321732,3.7348377189500055,0.5146815958341922,0.7400372313467555,0.5256194198874857,962.0
std,0.03618022138559019,0.027311449083188697,0.04554051378291555,0.7388460820477457,0.06535673673267443,0.034647320170071286,0.06158883556670876,2.886751345948129
