,PRC-AUC,AUROC,Accuracy,Balanced Accuracy,F1-Score,MCC,Sensitivity,Specificity,Precision,Negative Predictive Value,Test Cases,Negative Test Cases,Positive Test Cases
"(0, 0)",0.5444037170590084,0.5104773310521813,0.5059944666461728,0.5068157019294743,0.5192940472629375,0.013594936005044739,0.496,0.5176314038589488,0.5448838669177652,0.4686746987951807,3253.0,1503.0,1750.0
"(0, 1)",0.5373154457190534,0.4903041518538294,0.498769987699877,0.49597942707976794,0.5334859759587863,-0.008041885997808928,0.5337915234822451,0.4581673306772908,0.5331807780320366,0.4587765957446808,3252.0,1506.0,1746.0
"(1, 0)",0.5374180726837924,0.5093528068105768,0.513064863203197,0.5145270555133115,0.5199999999999999,0.02900806029767189,0.4933870040253019,0.535667107001321,0.5496476617552851,0.4793144208037825,3253.0,1514.0,1739.0
"(1, 1)",0.5488951128493764,0.5124431085976209,0.5104551045510455,0.513889782484967,0.5098522167487685,0.027785192995768575,0.47125782583949916,0.5565217391304348,0.5553319919517102,0.47245883021010787,3252.0,1495.0,1757.0
"(2, 0)",0.5429728007781495,0.5081913887591291,0.5053796495542576,0.5069612657468279,0.5110908538438166,0.013903982832922565,0.48388952819332565,0.53003300330033,0.5415325177076626,0.4723529411764706,3253.0,1515.0,1738.0
"(2, 1)",0.5189821289424975,0.4771981364974498,0.48769987699877,0.48791982491970154,0.5059311981020166,-0.02408126209647082,0.4852104664391354,0.49062918340026773,0.5285006195786865,0.4474969474969475,3252.0,1494.0,1758.0
mean,0.538331213005313,0.5013278205951311,0.5035606581088866,0.5043488429456751,0.516609048652721,0.008694837339521337,0.49392272466325116,0.5147749612280988,0.5421795726571911,0.4665124057045283,3252.5,1504.5,1748.0
std,0.009541735385024895,0.013054597324657637,0.00838262449439121,0.009552446804672701,0.009070650358722537,0.01907269196190028,0.019512343538363595,0.032165418169481326,0.009170445624041696,0.010483871164715476,0.5,8.220908303425682,7.852812659593164
