,AUROC,Accuracy,Balanced Accuracy,F1-Score,MCC,Sensitivity,Specificity,Precision,Negative Predictive Value,Test Cases,Negative Test Cases,Positive Test Cases
"(0, 0)",0.8401351582549188,0.7792806640024593,0.7780007603839939,0.7948571428571428,0.5560015207679878,0.7948571428571428,0.761144377910845,0.7948571428571428,0.761144377910845,3253.0,1503.0,1750.0
"(0, 1)",0.8231383363073099,0.759840098400984,0.7608751705663029,0.7695485393921511,0.5203559723836446,0.7468499427262314,0.7749003984063745,0.7936701156421181,0.7252952144188938,3252.0,1506.0,1746.0
"(1, 0)",0.8387241411005428,0.7737473101752229,0.7733006412072716,0.7865429234338747,0.5459950375587025,0.7797584818861415,0.7668428005284016,0.7934464599180807,0.7519430051813472,3253.0,1514.0,1739.0
"(1, 1)",0.8533906419234671,0.781980319803198,0.7827752535010459,0.792992700729927,0.5639002165373154,0.7729083665338645,0.7926421404682275,0.8141486810551559,0.7481060606060606,3252.0,1495.0,1757.0
"(2, 0)",0.8384670745555568,0.7731324930833077,0.7740515823734272,0.7817859254878771,0.546845425545693,0.760644418872267,0.7874587458745874,0.8041362530413625,0.7414543194530765,3253.0,1515.0,1738.0
"(2, 1)",0.8433832028912007,0.7739852398523985,0.7755264516541707,0.7835051546391752,0.5492466616675415,0.7565415244596132,0.7945113788487282,0.8124618204031765,0.734984520123839,3252.0,1494.0,1758.0
mean,0.8395397591721662,0.7736610208862617,0.7740883099477021,0.7848720644233579,0.5470574724101476,0.7685933128892101,0.779583307006194,0.8021200788195061,0.7438212496156771,3252.5,1504.5,1748.0
std,0.008923714377962369,0.006978549598408781,0.006683902696715335,0.008313056101244571,0.013432612154237081,0.01588644137705398,0.012777892641479348,0.008709072190916229,0.011628394982696843,0.5,8.220908303425682,7.852812659593164
