,PRC-AUC,AUROC,Accuracy,Balanced Accuracy,F1-Score,MCC,Sensitivity,Specificity,Precision,Negative Predictive Value,Test Cases,Negative Test Cases,Positive Test Cases
"(0, 0)",0.5471465336344129,0.510484744796122,0.5106055948355365,0.5092232677502139,0.5369400814426992,0.01840644572422799,0.5274285714285715,0.49101796407185627,0.5468009478672986,0.4715654952076677,3253.0,1503.0,1750.0
"(0, 1)",0.5569068144381071,0.5227222077706737,0.5212177121771218,0.5214023630563656,0.5378450578806768,0.042688070593819946,0.5189003436426117,0.5239043824701195,0.5582255083179297,0.4843462246777164,3252.0,1506.0,1746.0
"(1, 0)",0.5526060322261945,0.5121830141223604,0.5112204119274516,0.508058959772049,0.5477815699658704,0.01614859785422785,0.5537665324899368,0.4623513870541612,0.5419245920090039,0.4742547425474255,3253.0,1514.0,1739.0
"(1, 1)",0.5485981380121658,0.5052816921516038,0.503690036900369,0.5050357575907549,0.5153153153153154,0.01004411275408653,0.48833238474672735,0.5217391304347826,0.5454545454545454,0.4645622394282311,3252.0,1495.0,1757.0
"(2, 0)",0.5358254461166949,0.5061673255933188,0.49923147863510603,0.5022661759846871,0.4942564420987271,0.004539391314309569,0.4579976985040276,0.5465346534653466,0.5367498314227916,0.46779661016949153,3253.0,1515.0,1738.0
"(2, 1)",0.5607399175475707,0.523747245333248,0.5150676506765067,0.5175046031680762,0.5208143421452447,0.03495086943535005,0.48748577929465303,0.5475234270414994,0.5590345727332029,0.4758580570098895,3252.0,1494.0,1758.0
mean,0.5503038136625243,0.5134310382945545,0.5101721475253486,0.5105818545536911,0.5254921348080889,0.02112958127933699,0.5056518850177547,0.5155118240896276,0.5480316663007954,0.4730638948400703,3252.5,1504.5,1748.0
std,0.007961500771933616,0.007327590922626652,0.007176038581363687,0.00674695376202627,0.017708693761623776,0.013454516877533164,0.03126675286255373,0.030337969309325887,0.008141567614914373,0.006308513573731846,0.5,8.220908303425682,7.852812659593164
